cluster_id,n_matched_bins,mean_delta_frac,rms_delta_frac,quality_class_short,quality_class
NGC6981,3,-0.491647466395252,0.493306674979618,D,D_not_reliable_in_overlap
NGC5053,5,-0.368307422951829,0.381119729977784,D,D_not_reliable_in_overlap
NGC6681,13,-0.290228495051869,0.292178483913756,C,C_correction_required
NGC6496,3,-0.288841789615128,0.292045148532258,C,C_correction_required
NGC5466,5,-0.2497102460533,0.250058835111569,C,C_correction_required
NGC6535,4,-0.241999908227531,0.263990358075978,C,C_correction_required
NGC6717,5,-0.21527169653375,0.230903661088107,C,C_correction_required
NGC5897,5,-0.211534240385097,0.213338617283295,C,C_correction_required
NGC6101,8,0.25076305964825,0.259708908059587,C,C_correction_required
NGC1261,19,0.266256712125943,0.27432618591243,C,C_correction_required
